ticker,current_shares,target_shares,delta_shares,side
159915,0,0,0,HOLD
510300,0,12546,12546,BUY
510500,0,5789,5789,BUY
512100,0,3933,3933,BUY
513100,0,5645,5645,BUY
588000,0,5781,5781,BUY
